Event,Site,Date,White,Black,Result,WhiteElo,BlackElo,ECO,Opening,Termination
Casual rapid game,https://lichess.org/Tvb3Or14,2023.11.15,fidooo,peterchero,1-0,1500,1504,A00,,Normal
Casual rapid game,https://lichess.org/mT7x2Lqh,2023.11.15,aliiran66,peterchero,0-1,1500,1504,C65,,Normal
Casual rapid game,https://lichess.org/pAaPeN6S,2023.11.10,hamed-geravand,peterchero,1-0,1500,1504,C20,,Normal
Casual rapid game,https://lichess.org/hSpkj3Db,2023.11.03,GO_1984,peterchero,1-0,1482,1504,C50,,Time forfeit
Casual blitz game,https://lichess.org/aDKq3Xcn,2023.10.27,aries_0987,peterchero,0-1,1145,1232,A01,,Time forfeit
Casual blitz game,https://lichess.org/usiffUJs,2023.10.26,easyeagle88,peterchero,1-0,1686,1232,C44,,Time forfeit
Casual rapid game,https://lichess.org/89jfmLaE,2023.10.26,sepehr-m,peterchero,1-0,1458,1504,C65,,Normal
Casual blitz game,https://lichess.org/17HgmdSm,2023.10.25,abo3mo,peterchero,0-1,1237,1232,C50,,Normal
Casual blitz game,https://lichess.org/DH3El2EW,2023.10.25,rayan4468,peterchero,1-0,1320,1232,C20,,Normal
Casual blitz game,https://lichess.org/ye8JgGuu,2023.10.25,The_Shadow_Gambit,peterchero,1-0,1500,1232,A01,,Normal
Casual blitz game,https://lichess.org/OGdiZUR1,2024.10.21,maia5,peterchero,1-0,1493,1351,D00,,Normal
Casual blitz game,https://lichess.org/sPcxLE0P,2024.10.01,mehmetsumbul,peterchero,0-1,1500,1415,D01,,Normal
Casual blitz game,https://lichess.org/KBFv3pHH,2023.10.09,bobbycrusher,peterchero,1-0,1617,1232,A04,,Normal
Casual blitz game,https://lichess.org/K8Mf9IZ2,2023.10.09,bobbycrusher,peterchero,1-0,1617,1232,D02,,Time forfeit
Casual blitz game,https://lichess.org/8OTUD62l,2023.10.09,bobbycrusher,peterchero,1-0,1617,1232,A04,,Normal
Rated blitz game,https://lichess.org/ViUMpdXY,2023.07.04,Abdullah_2015,peterchero,0-1,1176,1220,C65,,Normal
Rated blitz game,https://lichess.org/PVHEmNvh,2023.07.04,emaurss,peterchero,1-0,1305,1219,C55,,Normal
Rated bullet game,https://lichess.org/jKmWFd6V,2023.05.29,ShmiSasha2014,peterchero,0-1,1225,1220,C23,,Normal
Rated bullet game,https://lichess.org/zbmiBb7N,2023.05.29,EgorI_VS_777,peterchero,0-1,1253,1218,C42,,Time forfeit
Rated bullet game,https://lichess.org/wTKIrWn1,2023.05.29,Sherifallam,peterchero,0-1,1253,1201,A00,,Time forfeit
Rated bullet game,https://lichess.org/wyP4HKpp,2023.05.29,your_majesty,peterchero,0-1,1164,1199,A00,,Time forfeit
Rated bullet game,https://lichess.org/mN7kGvwO,2023.05.29,armen-5,peterchero,1-0,1229,1207,A04,,Time forfeit
Casual bullet game,https://lichess.org/USVv7ZWX,2024.10.01,Jean_Peuplu,peterchero,0-1,1407,1400,C60,,Time forfeit
Rated bullet game,https://lichess.org/1NcjTz1R,2023.05.29,Santiagoparaguay,peterchero,0-1,1214,1198,C30,,Normal
Rated bullet game,https://lichess.org/uwTyx792,2023.05.29,taue_ar,peterchero,1-0,1240,1196,D02,,Time forfeit
Rated blitz game,https://lichess.org/gkHCIgRQ,2023.05.28,gbaasgbos,peterchero,0-1,1215,1221,D80,,Normal
Rated blitz game,https://lichess.org/A1wY4DE6,2023.05.26,xQandout,peterchero,0-1,1231,1194,D02,,Normal
Rated blitz game,https://lichess.org/K4AYWEkQ,2023.05.26,satotb,peterchero,0-1,1218,1183,C53,,Normal
Rated bullet game,https://lichess.org/K5G9XDj8,2023.05.07,Foplo33c,peterchero,1-0,1294,1201,A02,,Time forfeit
Rated bullet game,https://lichess.org/2Uq0FPKG,2023.05.07,gwin232,peterchero,1-0,1252,1212,A00,,Normal
Rated bullet game,https://lichess.org/Ma6Cqiva,2023.05.03,mirza54,peterchero,1-0,1199,1229,D53,,Normal
Rated rapid game,https://lichess.org/IuEGgZyK,2023.04.27,Jeezaam,peterchero,1-0,1538,1502,D00,,Normal
Rated bullet game,https://lichess.org/9ElmOnth,2023.04.27,DarkChessman,peterchero,0-1,1195,1217,A22,,Time forfeit
Casual blitz game,https://lichess.org/RWQLjajw,2024.09.26,Iaco,peterchero,1-0,1346,1415,B06,,Normal
Casual rapid game,https://lichess.org/iIi0OdA2,2023.04.26,MuabDibb,peterchero,1-0,1603,1502,C64,,Normal
Casual bullet game,https://lichess.org/s8axbx1k,2023.04.26,jgarciber,peterchero,1-0,1644,1217,C50,,Normal
Casual bullet game,https://lichess.org/arfiwy5R,2023.04.26,jgarciber,peterchero,1-0,1644,1217,C50,,Time forfeit
Rated bullet game,https://lichess.org/bYIBiR58,2023.04.24,invicible,peterchero,0-1,1278,1209,A01,,Time forfeit
Rated bullet game,https://lichess.org/lLb6YuVw,2023.04.24,ToinDoido,peterchero,1-0,1198,1210,C20,,Normal
Rated bullet game,https://lichess.org/8lu058oL,2023.04.24,Talema,peterchero,1/2-1/2,1336,1214,C47,,Time forfeit
Rated bullet game,https://lichess.org/3BbissCD,2023.04.24,SurenEds98,peterchero,1-0,1180,1215,C25,,Normal
Rated bullet game,https://lichess.org/SXyWxqMr,2023.04.24,MisterBarrios,peterchero,0-1,1142,1214,A00,,Time forfeit
Rated bullet game,https://lichess.org/3anrrpAg,2023.04.24,SkyBri,peterchero,1-0,1189,1229,C50,,Time forfeit
Rated bullet game,https://lichess.org/ozKS9pZo,2023.04.24,g27,peterchero,1-0,1276,1222,B00,,Normal
Casual bullet game,https://lichess.org/TPpWNONB,2024.09.26,masoudfeyzi,peterchero,0-1,1231,1400,C40,,Time forfeit
Rated bullet game,https://lichess.org/W85uhk8D,2023.04.24,retro186,peterchero,0-1,1169,1225,C25,,Time forfeit
Rated bullet game,https://lichess.org/PMN44hvW,2023.04.23,devran25,peterchero,0-1,1260,1222,D06,,Time forfeit
Rated bullet game,https://lichess.org/kEYTkXyI,2023.04.23,devran25,peterchero,1-0,1254,1230,A40,,Normal
Rated bullet game,https://lichess.org/9D0MPNGP,2023.04.23,toyranc,peterchero,1-0,1275,1247,C48,,Time forfeit
Rated bullet game,https://lichess.org/ajRmFfXa,2023.04.23,sohan1234567,peterchero,1-0,1249,1250,C57,,Time forfeit
Rated bullet game,https://lichess.org/8l2jHNLk,2023.04.23,Hnucl79,peterchero,0-1,1306,1257,A40,,Time forfeit
Rated bullet game,https://lichess.org/XeocjAzK,2023.04.23,kamaliza,peterchero,1-0,1221,1281,D00,,Normal
Rated bullet game,https://lichess.org/nL4Mi5hr,2023.04.23,leebraun,peterchero,0-1,1305,1269,D77,,Time forfeit
Rated bullet game,https://lichess.org/AfaiejSH,2023.04.23,jery33,peterchero,1-0,1276,1304,C50,,Normal
Rated bullet game,https://lichess.org/2Cy08e47,2023.04.23,stephano_j13,peterchero,0-1,1187,1299,C44,,Time forfeit
Casual rapid game,https://lichess.org/HB7YqPAm,2024.09.23,ahmadnassar,peterchero,0-1,1525,1507,C23,,Normal
Rated bullet game,https://lichess.org/bzyxpMac,2023.04.23,lordoan,peterchero,1-0,1310,1313,A00,,Normal
Rated bullet game,https://lichess.org/B7i3kXcW,2023.04.23,GladR1,peterchero,0-1,1317,1297,C44,,Normal
Rated blitz game,https://lichess.org/PD0bPIpW,2023.04.23,Igor_Plaksin,peterchero,0-1,1117,1161,C34,,Time forfeit
Rated blitz game,https://lichess.org/qoD7eIjX,2023.04.23,Uniquesatyendra,peterchero,0-1,1097,1156,A00,,Normal
Rated blitz game,https://lichess.org/VTtxrM7X,2023.04.23,arcqk5,peterchero,1-0,1124,1157,C44,,Normal
Rated blitz game,https://lichess.org/pachwrmh,2023.04.23,megaknight2007,peterchero,0-1,1136,1140,C46,,Normal
Rated blitz game,https://lichess.org/YXQ1DKle,2023.04.22,Umarbala,peterchero,1-0,1179,1145,C20,,Time forfeit
Rated blitz game,https://lichess.org/ZI2Ifyei,2023.04.22,m00ya,peterchero,1-0,1101,1159,C30,,Normal
Rated blitz game,https://lichess.org/lPlyFSVr,2023.04.22,dds_night_king,peterchero,0-1,1045,1155,C50,,Normal
Rated blitz game,https://lichess.org/efMhMfQV,2023.04.22,OscarChine16,peterchero,0-1,1150,1155,D00,,Normal
Casual bullet game,https://lichess.org/I3cMwGN8,2024.09.04,caturdayyet,peterchero,1-0,1398,1400,C40,,Time forfeit
Rated blitz game,https://lichess.org/faipGO5l,2023.04.22,gokhanngm,peterchero,1-0,1167,1162,A00,,Normal
Rated blitz game,https://lichess.org/nOQdcRZ8,2023.04.22,eoghanclancy,peterchero,0-1,1154,1155,C50,,Normal
Rated blitz game,https://lichess.org/Lnn18zBD,2023.04.22,aangra77,peterchero,0-1,1167,1133,D02,,Normal
Rated blitz game,https://lichess.org/7navnDmg,2023.04.22,nicolasrverabarros,peterchero,1-0,1136,1133,C20,,Normal
Rated blitz game,https://lichess.org/FmUDj2dy,2023.04.22,G3orG_25,peterchero,1-0,1201,1140,C41,,Time forfeit
Rated blitz game,https://lichess.org/7MV93rtR,2023.04.22,ICEMAN47,peterchero,1-0,1246,1147,C50,,Normal
Rated blitz game,https://lichess.org/sFC7IsQx,2023.04.22,Kokito32,peterchero,1-0,1184,1146,B07,,Normal
Rated blitz game,https://lichess.org/fxERlvVl,2023.04.22,caterpillar1980,peterchero,1-0,1121,1167,D01,,Normal
Rated blitz game,https://lichess.org/xuQNvKk1,2023.04.22,caterpillar1980,peterchero,0-1,1125,1159,C20,,Normal
Rated blitz game,https://lichess.org/sgscc62o,2023.04.22,Esc_2020,peterchero,1-0,1071,1152,D02,,Normal
Casual blitz game,https://lichess.org/oj7XQNM7,2024.09.04,Whyissodidicult,peterchero,0-1,1500,1415,C23,,Normal
Rated blitz game,https://lichess.org/xyqH5kEM,2023.04.22,setare222,peterchero,0-1,1161,1139,A00,,Normal
Rated bullet game,https://lichess.org/ftFaugcI,2023.04.20,dr_IvanKaramazov,peterchero,0-1,1292,1281,C50,,Time forfeit
Casual rapid game,https://lichess.org/q2NNJqGr,2023.04.20,dark0809,peterchero,0-1,1500,1502,B20,,Normal
Casual rapid game,https://lichess.org/0swtKelE,2023.04.20,dark0809,peterchero,0-1,1500,1502,C24,,Normal
Rated bullet game,https://lichess.org/dhPcifnq,2023.04.20,Haffner,peterchero,1-0,1242,1282,C34,,Normal
Rated bullet game,https://lichess.org/MfmXxMX3,2023.04.18,leo021994,peterchero,1-0,1308,1282,A40,,Normal
Rated bullet game,https://lichess.org/HfGOJ8gj,2023.04.18,scooby64,peterchero,1-0,1381,1298,D00,,Normal
Casual blitz game,https://lichess.org/TQMgTlfj,2023.04.17,Anhtruc2015,peterchero,0-1,662,1149,D00,,Time forfeit
Casual rapid game,https://lichess.org/FeShhWao,2023.04.14,AMKG,peterchero,0-1,1500,1502,C46,,Normal
Casual rapid game,https://lichess.org/15EgwhIG,2023.04.14,musapinj,peterchero,0-1,1500,1502,C20,,Normal
Casual rapid game,https://lichess.org/lL1jgRgr,2024.09.02,solo29,peterchero,0-1,1050,1507,C50,,Normal
Rated bullet game,https://lichess.org/HeITKvMZ,2023.04.08,AndyChoi,peterchero,1-0,1293,1324,C20,,Time forfeit
Casual rapid game,https://lichess.org/ThS6YCd6,2023.04.04,novachok,peterchero,1-0,1491,1502,A40,,Time forfeit
Casual classical game,https://lichess.org/P5QWKFGO,2023.04.04,Roman2206,peterchero,0-1,1376,1500,B00,,Normal
Casual rapid game,https://lichess.org/zlRJCsm9,2023.04.03,DanSpielt,peterchero,1-0,1533,1502,C20,,Normal
Casual bullet game,https://lichess.org/HESjqPoZ,2023.03.31,KarlheinzRumgedisse,peterchero,0-1,1500,1324,A15,,Normal
Casual rapid game,https://lichess.org/BwXgHuiA,2023.03.31,Wolftail,peterchero,1-0,1500,1502,A40,,Normal
Casual rapid game,https://lichess.org/vNiUH1E6,2023.03.31,Alekhine01,peterchero,1-0,1459,1502,C51,,Normal
Casual rapid game,https://lichess.org/Q3VBZ8xC,2023.03.30,cbm01,peterchero,0-1,1500,1502,C50,,Time forfeit
Casual rapid game,https://lichess.org/xt9uvzmn,2023.03.30,Myshakhan,peterchero,0-1,1527,1502,C44,,Normal
