Event,Site,Date,White,Black,Result,WhiteElo,BlackElo,ECO,Opening,Termination
Rated blitz game,https://lichess.org/IDFErbII,2024.02.07,peterchero,ivan_ilnytskyi,1-0,1428,1437,A41,,Time forfeit
Rated blitz game,https://lichess.org/R3m9j6y6,2024.10.17,bodjajmustapha,peterchero,0-1,1407,1354,C23,,Normal
Casual rapid game,https://lichess.org/gO1ol9gG,2024.07.23,Viktor1937,peterchero,0-1,1432,1507,C50,,Time forfeit
Rated blitz game,https://lichess.org/hrGj4DfL,2024.02.07,peterchero,AjnShtAjn,1/2-1/2,1430,1337,C20,,Normal
Rated blitz game,https://lichess.org/in9eA0bW,2024.02.07,peterchero,vidmas,0-1,1428,1553,A40,,Normal
Rated bullet game,https://lichess.org/HBDqDy6M,2024.02.07,peterchero,lhazapatista,1-0,1400,1449,D02,,Time forfeit
Rated bullet game,https://lichess.org/OZdJ73mw,2024.02.07,peterchero,Gipc_2606,1/2-1/2,1405,1376,A40,,Time forfeit
Rated blitz game,https://lichess.org/gKvwHPNC,2024.02.07,peterchero,thejewishgambit,1-0,1412,1418,A41,,Normal
Casual bullet game,https://lichess.org/XMEbSGGl,2024.02.07,peterchero,kaimauer,1-0,1405,1430,D02,,Time forfeit
Casual rapid game,https://lichess.org/ehtNzrw9,2024.02.06,peterchero,Abdurrahman047,0-1,1504,1526,D02,,Time forfeit
Casual blitz game,https://lichess.org/hCjqWmaC,2024.02.06,peterchero,treakyy1,1-0,1404,1452,D02,,Normal
Casual blitz game,https://lichess.org/dEkJB1Ai,2024.02.06,peterchero,treakyy1,1-0,1404,1452,A08,,Normal
Casual blitz game,https://lichess.org/R2AEg0u0,2024.02.06,peterchero,treakyy1,1-0,1404,1452,D02,,Normal
Casual blitz game,https://lichess.org/nwBkAvUb,2024.07.22,chavodelocho8,peterchero,1-0,1489,1415,C40,,Normal
Casual blitz game,https://lichess.org/kdo5ReVs,2024.02.06,peterchero,Whisp_FF,1-0,1404,1459,A43,,Normal
Casual correspondence game,https://lichess.org/tj964TFe,2024.02.06,peterchero,zoro3915,1-0,1500,1500,B00,,Time forfeit
Rated bullet game,https://lichess.org/fcVNV4Vy,2024.02.06,peterchero,JOSHINGT0N,1-0,1398,1485,B10,,Time forfeit
Rated bullet game,https://lichess.org/VwdoMgjI,2024.02.06,peterchero,SEEKJESUS,1-0,1386,1397,A40,,Normal
Rated bullet game,https://lichess.org/x4imXa5U,2024.02.05,peterchero,Digol,1-0,1384,1470,B06,,Time forfeit
Rated bullet game,https://lichess.org/n3S0DFZj,2024.02.05,peterchero,TielloIsBlack,1-0,1385,1354,A08,,Time forfeit
Rated blitz game,https://lichess.org/V9AUeknc,2024.02.04,peterchero,myavuz95,1-0,1389,1407,D02,,Normal
Rated bullet game,https://lichess.org/bNkluyPz,2024.02.03,peterchero,Mounaym,1-0,1380,1362,D02,,Normal
Rated blitz game,https://lichess.org/NZ0TVzeK,2024.02.03,peterchero,trashram,1-0,1363,1364,A40,,Normal
Rated blitz game,https://lichess.org/piQ3GeWP,2024.02.03,peterchero,Rogervzla,0-1,1371,1414,D02,,Normal
Casual blitz game,https://lichess.org/sWMcmAAe,2024.07.22,Hanhu,peterchero,0-1,1356,1415,C46,,Time forfeit
Rated blitz game,https://lichess.org/BBMQrdxT,2024.02.03,peterchero,pablozuniga,1-0,1362,1355,D02,,Normal
Rated blitz game,https://lichess.org/gc83TgwZ,2024.02.02,peterchero,Schmidddi,1-0,1343,1340,A40,,Normal
Rated blitz game,https://lichess.org/dBRn9I1S,2024.02.02,peterchero,rustam_1981,0-1,1363,1402,D02,,Normal
Rated blitz game,https://lichess.org/CEKCYWLq,2024.02.02,peterchero,Marcz13,0-1,1373,1400,A08,,Time forfeit
Rated blitz game,https://lichess.org/qsK6Njba,2024.02.02,peterchero,taarkik,1-0,1349,1399,A46,,Time forfeit
Rated bullet game,https://lichess.org/PF8mZZnE,2024.02.01,peterchero,zhenyashkin,1-0,1373,1394,D02,,Normal
Rated bullet game,https://lichess.org/6H97pjPZ,2024.01.31,peterchero,taerets,1-0,1367,1392,D02,,Time forfeit
Rated bullet game,https://lichess.org/sQdbFNAg,2024.01.31,peterchero,frengo85,1-0,1359,1450,A00,,Time forfeit
Rated bullet game,https://lichess.org/aIXVf70R,2024.01.31,peterchero,dboschm,0-1,1364,1448,A40,,Normal
Rated bullet game,https://lichess.org/afH7EYoG,2024.01.30,peterchero,Kubi93,1-0,1358,1390,D02,,Time forfeit
Casual blitz game,https://lichess.org/L2HlfSKR,2024.07.22,Father_Dougal,peterchero,1/2-1/2,1814,1415,A02,,Normal
Rated bullet game,https://lichess.org/ekGdFWMt,2024.01.30,peterchero,poor_billy,1-0,1352,1340,A08,,Time forfeit
Rated bullet game,https://lichess.org/qNLgHWzC,2024.01.30,peterchero,alextal,1-0,1347,1369,A46,,Normal
Rated bullet game,https://lichess.org/wga1IwH3,2024.01.30,peterchero,mohitmkk,1-0,1341,1312,D02,,Time forfeit
Rated bullet game,https://lichess.org/WrrbU9Wv,2024.01.30,peterchero,pleamar,0-1,1347,1343,D02,,Normal
Rated bullet game,https://lichess.org/YZLTGD9B,2024.01.29,peterchero,Dimasio2012,1-0,1336,1323,D02,,Time forfeit
Rated bullet game,https://lichess.org/U565OPXJ,2024.01.29,peterchero,pete24,1-0,1338,1272,A80,,Time forfeit
Rated bullet game,https://lichess.org/oNGEBQdT,2024.01.28,peterchero,hydroelectric,1-0,1344,1296,D02,,Time forfeit
Rated bullet game,https://lichess.org/0GXDVUsc,2024.01.28,peterchero,Pauldwetzel,1-0,1336,1371,B30,,Time forfeit
Rated bullet game,https://lichess.org/KhqsQ6fO,2024.01.28,peterchero,bavaria1,1-0,1324,1278,D02,,Normal
Rated bullet game,https://lichess.org/ddC4QZsR,2024.01.28,peterchero,DaGrusl,1/2-1/2,1333,1329,B10,,Time forfeit
Casual bullet game,https://lichess.org/E0CiuWNY,2024.07.15,Matelisto,peterchero,1-0,1340,1400,A01,,Normal
Rated bullet game,https://lichess.org/A9IScKOO,2024.01.28,peterchero,Bispochess,1-0,1324,1334,C00,,Time forfeit
Rated bullet game,https://lichess.org/mXjDekB5,2024.01.27,peterchero,karpik08,1-0,1309,1276,B10,,Time forfeit
Rated bullet game,https://lichess.org/cKX4OJWZ,2024.01.27,peterchero,ganda1903,0-1,1317,1310,D02,,Time forfeit
Rated bullet game,https://lichess.org/0APgXLGC,2024.01.26,peterchero,Wacffei,0-1,1317,1298,A04,,Time forfeit
Rated blitz game,https://lichess.org/0htk6VVv,2024.01.24,peterchero,Stahelsky,1-0,1271,1351,A46,,Normal
Rated blitz game,https://lichess.org/QpHZ9qRx,2024.01.24,peterchero,eduardomdg,0-1,1284,1276,A40,,Normal
Rated blitz game,https://lichess.org/pVkeHud3,2024.01.22,peterchero,wg0906,1-0,1254,1328,D02,,Normal
Rated blitz game,https://lichess.org/aGEF9ovg,2024.01.21,peterchero,Tabornero,0-1,1255,1225,D02,,Time forfeit
Rated blitz game,https://lichess.org/GiuMrthH,2024.01.21,peterchero,whysofast111,0-1,1259,1297,A40,,Normal
Rated blitz game,https://lichess.org/qoe5Gq3n,2024.01.21,peterchero,Ademmlk,0-1,1291,1315,D02,,Normal
Casual bullet game,https://lichess.org/FrFt5tag,2024.07.15,Matelisto,peterchero,1-0,1340,1400,A01,,Normal
Rated bullet game,https://lichess.org/iI7GE2yC,2024.01.20,peterchero,KuyPs68,1-0,1282,1356,D02,,Normal
Rated bullet game,https://lichess.org/YCLmr84m,2024.01.20,peterchero,Seixas_38,1-0,1266,1241,D02,,Time forfeit
Rated bullet game,https://lichess.org/H6akiJzL,2024.01.20,peterchero,hotchicken222,0-1,1273,1367,C44,,Time forfeit
Rated bullet game,https://lichess.org/FGeHxRBo,2024.01.20,peterchero,reckless_monk,1-0,1272,1300,A40,,Time forfeit
Rated bullet game,https://lichess.org/GUfiVk1p,2024.01.19,peterchero,jayantilal12may,1-0,1273,1319,A40,,Normal
Rated bullet game,https://lichess.org/Fv44ccgq,2024.01.19,peterchero,dcmacster,0-1,1284,1259,A49,,Time forfeit
Rated bullet game,https://lichess.org/F3anqC9I,2024.01.19,peterchero,Edrixtj,1-0,1271,1323,C44,,Time forfeit
Rated bullet game,https://lichess.org/19oqFLOl,2024.01.19,peterchero,Arpann,0-1,1268,1258,D02,,Normal
Rated blitz game,https://lichess.org/4t4tTDy5,2024.01.16,peterchero,StoneyBoney,0-1,1273,1283,A40,,Time forfeit
Rated blitz game,https://lichess.org/B559bS5t,2024.01.16,peterchero,pynut1980,1-0,1254,1239,A40,,Normal
Casual blitz game,https://lichess.org/ANpaXxmN,2024.07.14,simal60,peterchero,1-0,1330,1415,C44,,Normal
Rated blitz game,https://lichess.org/NQOl1bWY,2024.01.16,peterchero,Smurfianchetto,1/2-1/2,1250,1309,A40,,Normal
Rated blitz game,https://lichess.org/1Ye5uaub,2024.01.16,peterchero,Thorsdonder,0-1,1247,1272,B10,,Time forfeit
Rated bullet game,https://lichess.org/izHkOWKX,2024.01.16,peterchero,kblitz_11,1-0,1267,1291,A45,,Normal
Rated bullet game,https://lichess.org/B79oW1Bl,2024.01.14,peterchero,iyetorre,1-0,1223,1161,C41,,Time forfeit
Rated bullet game,https://lichess.org/3CsUvtRA,2024.01.11,peterchero,Ahmedelmorsy00,1-0,1222,1253,B00,,Normal
Rated bullet game,https://lichess.org/akugGsLg,2024.01.11,peterchero,ismael_mmx,0-1,1266,1260,A80,,Normal
Rated bullet game,https://lichess.org/xjjFK8c5,2024.01.11,peterchero,freidoon-mohammadnia,0-1,1266,1251,A46,,Time forfeit
Rated bullet game,https://lichess.org/wfqla6Ql,2024.01.11,peterchero,Sushmita_chess,1-0,1272,1237,A40,,Normal
Rated bullet game,https://lichess.org/n3rE7FND,2024.01.10,peterchero,TheMallardKing,1-0,1236,1204,D02,,Time forfeit
Rated bullet game,https://lichess.org/ACX4KOwz,2024.01.10,peterchero,Rinik,1-0,1235,1235,A80,,Time forfeit
Casual rapid game,https://lichess.org/6oKMjkUL,2024.07.12,berg-berg,peterchero,0-1,1498,1507,C20,,Normal
Rated bullet game,https://lichess.org/OoNrjmJh,2024.01.10,peterchero,cypa,1-0,1209,1281,A80,,Time forfeit
Rated bullet game,https://lichess.org/E2hYrneC,2024.01.10,peterchero,hassan_ali_gamer,0-1,1233,1240,A40,,Time forfeit
Rated bullet game,https://lichess.org/J6GeIzaO,2024.01.10,peterchero,PieceGroper,0-1,1238,1240,D02,,Time forfeit
Rated bullet game,https://lichess.org/uVVmfe2Y,2024.01.10,peterchero,Schneid09,1-0,1228,1279,B06,,Time forfeit
Rated blitz game,https://lichess.org/AjnOIOfm,2023.12.24,peterchero,RADAY13,1-0,1224,1236,D02,,Normal
Rated blitz game,https://lichess.org/1QQHhqM0,2023.12.24,peterchero,aynuraynur,0-1,1248,1271,C20,,Time forfeit
Rated blitz game,https://lichess.org/07edZL9u,2023.12.24,peterchero,Molyneux65,1-0,1219,1215,A40,,Normal
Casual blitz game,https://lichess.org/ZXpevKZk,2023.11.20,peterchero,Anthony133,1-0,1232,1149,D02,,Normal
Casual blitz game,https://lichess.org/91GHCwlC,2023.11.17,peterchero,rnddlr,1-0,1232,1412,D02,,Normal
Casual rapid game,https://lichess.org/aZpwLmoL,2023.11.15,peterchero,Fil60,1-0,1504,1488,D02,,Normal
Casual blitz game,https://lichess.org/gbRPE2RV,2024.07.11,alwaysretweet,peterchero,1-0,1464,1415,C24,,Time forfeit
Casual bullet game,https://lichess.org/L3NC9pRW,2023.11.15,peterchero,Rooster131,0-1,1228,1246,B10,,Normal
Casual rapid game,https://lichess.org/GvQkPd8T,2023.11.10,peterchero,Luka_Shmatko,1-0,1504,1532,D02,,Normal
Casual rapid game,https://lichess.org/8TXuzTUC,2023.11.10,peterchero,hamed-geravand,0-1,1504,1500,D00,,Normal
Casual rapid game,https://lichess.org/79v6Kxim,2023.10.27,peterchero,Chichku,1/2-1/2,1504,1458,D00,,Normal
Casual blitz game,https://lichess.org/5TTKsrfk,2023.10.25,peterchero,AlfaVOlK,1-0,1232,1164,A40,,Normal
Casual blitz game,https://lichess.org/BWP0I5W8,2023.10.25,peterchero,Fermin2000,1-0,1232,1298,D02,,Normal
Casual blitz game,https://lichess.org/c9GbUath,2023.10.25,peterchero,Kumba2002,0-1,1232,1255,B00,,Time forfeit
Casual blitz game,https://lichess.org/7E0PeABQ,2023.10.09,peterchero,bobbycrusher,0-1,1232,1617,D02,,Normal
Casual blitz game,https://lichess.org/CrJza7dt,2023.10.09,peterchero,bobbycrusher,1-0,1232,1617,A03,,Normal
Casual blitz game,https://lichess.org/G1IrUwdj,2023.10.09,peterchero,bobbycrusher,0-1,1232,1617,A46,,Normal
Casual blitz game,https://lichess.org/lbDrXocJ,2024.07.09,askar102,peterchero,1-0,1500,1415,C46,,Normal
Rated blitz game,https://lichess.org/hyi8Tts6,2023.07.04,peterchero,Oguzhanylmzz,1-0,1208,1160,D02,,Time forfeit
Rated bullet game,https://lichess.org/vkFwjYXa,2023.05.29,peterchero,LumaMartins,0-1,1226,1291,A48,,Time forfeit
Rated bullet game,https://lichess.org/SKa6qSOq,2023.05.29,peterchero,AWahid,1-0,1210,1189,D02,,Time forfeit
Rated bullet game,https://lichess.org/D2NR2S0b,2023.05.29,peterchero,TRJTUSA,0-1,1208,1253,A40,,Normal
Rated bullet game,https://lichess.org/7CaMyT34,2023.05.29,peterchero,dea66,1-0,1198,1282,C40,,Time forfeit
Rated bullet game,https://lichess.org/thiQ2ChM,2023.05.29,peterchero,MichaelJakson25,0-1,1207,1190,A46,,Time forfeit
Rated bullet game,https://lichess.org/Ra4zjuPv,2023.05.29,peterchero,Josue1211,1-0,1187,1215,A46,,Time forfeit
Rated blitz game,https://lichess.org/A0uhfCMn,2023.05.29,peterchero,bruttchess,0-1,1230,1150,D02,,Normal
Rated blitz game,https://lichess.org/t9SVOlOF,2023.05.28,peterchero,Snarf_BR,1-0,1212,1197,C50,,Normal
Rated blitz game,https://lichess.org/yzWaELOO,2023.05.28,peterchero,ANGELNAIPI,1-0,1205,1111,D02,,Time forfeit
Rated blitz game,https://lichess.org/SreT8hVb,2024.10.17,bodjajmustapha,peterchero,1-0,1397,1391,C40,,Normal
Casual blitz game,https://lichess.org/DGvpjF4V,2024.07.02,Alanqg08,peterchero,1/2-1/2,1397,1415,D07,,Normal
Rated blitz game,https://lichess.org/0eFF9LvP,2023.05.26,peterchero,cheesser061,1-0,1171,1235,C46,,Normal
Rated bullet game,https://lichess.org/ProIFce9,2023.05.07,peterchero,Foplo33c,0-1,1206,1263,C00,,Time forfeit
Rated bullet game,https://lichess.org/xh0tgXqE,2023.05.05,peterchero,Amaringrole,1-0,1206,1189,D01,,Time forfeit
Rated bullet game,https://lichess.org/sTPwlDes,2023.05.05,peterchero,charlesedwardcheese,0-1,1214,1162,A04,,Time forfeit
Rated bullet game,https://lichess.org/TiveCstq,2023.05.05,peterchero,Amaringrole,0-1,1221,1190,C46,,Normal
Rated bullet game,https://lichess.org/tjd2M0K3,2023.04.28,peterchero,stopseb,1-0,1223,1213,A40,,Time forfeit
Rated rapid game,https://lichess.org/qqWNbeCP,2023.04.27,peterchero,sitasree,1-0,1459,1477,A40,,Normal
Casual bullet game,https://lichess.org/sBdeHeJ8,2023.04.26,peterchero,jgarciber,0-1,1217,1644,D02,,Time forfeit
Casual rapid game,https://lichess.org/ILXjjf9f,2023.04.24,peterchero,DmitryM73,1-0,1502,1399,D02,,Normal
Rated bullet game,https://lichess.org/KhA66Q3v,2023.04.24,peterchero,ToinDoido,1-0,1203,1204,A40,,Time forfeit
Casual bullet game,https://lichess.org/KxA0tgdi,2024.07.02,Abelk4,peterchero,0-1,1319,1400,A01,,Time forfeit
Rated bullet game,https://lichess.org/7u7lUej3,2023.04.24,peterchero,salinasalejandro16,0-1,1216,1213,A00,,Normal
Rated bullet game,https://lichess.org/K2TRgd46,2023.04.24,peterchero,Zekv,1-0,1207,1246,D02,,Normal
Rated bullet game,https://lichess.org/6aO4EvZ3,2023.04.24,peterchero,TheNabbitQueen,0-1,1220,1293,A04,,Time forfeit
Rated bullet game,https://lichess.org/JfsLLdB0,2023.04.24,peterchero,mazivic,0-1,1221,1254,B00,,Normal
Rated bullet game,https://lichess.org/RC5DBAsG,2023.04.24,peterchero,Boomerang1985,1-0,1221,1219,D02,,Time forfeit
Rated bullet game,https://lichess.org/V1HXrO34,2023.04.24,peterchero,pru_namikaze,1-0,1216,1132,A40,,Time forfeit
Rated bullet game,https://lichess.org/vbcJyqw1,2023.04.24,peterchero,cjaard,0-1,1231,1153,B12,,Time forfeit
Rated bullet game,https://lichess.org/4NdJXCMV,2023.04.23,peterchero,RDJMP,0-1,1231,1281,B02,,Time forfeit
Rated bullet game,https://lichess.org/EWVJdnWj,2023.04.23,peterchero,YooTTooY,0-1,1239,1241,B06,,Normal
Rated bullet game,https://lichess.org/VYqDi49L,2023.04.23,peterchero,vonHelster,1-0,1240,1123,A48,,Time forfeit
Casual blitz game,https://lichess.org/I9radvDV,2024.07.02,MYMChessJames,peterchero,1-0,1605,1415,C44,,Normal
Rated bullet game,https://lichess.org/HKGwUsdT,2023.04.23,peterchero,Sami2434,0-1,1259,1256,C00,,Time forfeit
Rated bullet game,https://lichess.org/OaEuL547,2023.04.23,peterchero,Kyavijyah,0-1,1269,1280,C46,,Normal
Rated bullet game,https://lichess.org/OfHCN6YB,2023.04.23,peterchero,jerenyL,0-1,1269,1226,C22,,Normal
Rated bullet game,https://lichess.org/oOfWHk5G,2023.04.23,peterchero,dian_ar,0-1,1280,1272,B01,,Normal
Rated bullet game,https://lichess.org/oSyAPAVi,2023.04.23,peterchero,SueJackson,0-1,1291,1312,B10,,Normal
Rated bullet game,https://lichess.org/vb7vu0gm,2023.04.23,peterchero,gardaheisle,1/2-1/2,1308,1203,D00,,Normal
Rated bullet game,https://lichess.org/AEFC8WR4,2023.04.23,peterchero,kornilov_anton,1-0,1299,1301,D02,,Normal
Rated bullet game,https://lichess.org/LHfV6q7s,2023.04.23,peterchero,Q-N,0-1,1299,1295,C01,,Time forfeit
Rated blitz game,https://lichess.org/MrMqgkSH,2023.04.23,peterchero,rpatel77,1-0,1166,1103,A40,,Normal
Rated blitz game,https://lichess.org/LRSsLM2F,2023.04.23,peterchero,Velosa01,1-0,1150,1160,A40,,Normal
Casual classical game,https://lichess.org/UdYvz9Ny,2024.07.02,nohandout1,peterchero,0-1,1500,1500,D00,,Normal
Rated blitz game,https://lichess.org/2f3az6ra,2023.04.23,peterchero,YellowBilledMagpie,1-0,1152,1099,D02,,Time forfeit
Rated blitz game,https://lichess.org/dAnTBUka,2023.04.23,peterchero,matiassebastian12,1-0,1145,1172,D02,,Time forfeit
Rated blitz game,https://lichess.org/505YhtTF,2023.04.22,peterchero,PubGoose,1/2-1/2,1145,1146,A45,,Normal
Rated blitz game,https://lichess.org/AowcgImZ,2023.04.22,peterchero,zergrushmishka,0-1,1152,1122,A40,,Normal
Rated blitz game,https://lichess.org/hqTmVtdZ,2023.04.22,peterchero,Diogenesse,0-1,1163,1077,D02,,Normal
Rated blitz game,https://lichess.org/JRtmGi7f,2023.04.22,peterchero,Danielsan415,1/2-1/2,1162,1180,D02,,Normal
Rated blitz game,https://lichess.org/Ffp19eNj,2023.04.22,peterchero,ParticularPorcupine,1/2-1/2,1162,1166,D02,,Normal
Rated blitz game,https://lichess.org/OTbtYgfw,2023.04.22,peterchero,VasilijeDjokovic,1-0,1148,1136,B10,,Normal
Rated blitz game,https://lichess.org/UCykIcAS,2023.04.22,peterchero,Mixa00013,1-0,1141,1092,D02,,Normal
Rated blitz game,https://lichess.org/SgD9Gzxk,2023.04.22,peterchero,Bur0nZu,1-0,1125,1123,A40,,Normal
Casual blitz game,https://lichess.org/wT5SieE7,2024.07.02,Zoopam,peterchero,0-1,1490,1415,E70,,Normal
Rated blitz game,https://lichess.org/z6R4YZNg,2023.04.22,peterchero,belottoalbuquerque,0-1,1147,1185,A48,,Normal
Rated blitz game,https://lichess.org/y3totD8D,2023.04.22,peterchero,R_o_n_i_n,1-0,1140,1079,D02,,Normal
Rated blitz game,https://lichess.org/5Bl155bt,2023.04.22,peterchero,Domovenok29,1-0,1137,1146,C40,,Time forfeit
Rated blitz game,https://lichess.org/4FAzq7gc,2023.04.22,peterchero,caterpillar1980,0-1,1156,1127,D02,,Normal
Rated blitz game,https://lichess.org/luiJkJj9,2023.04.22,peterchero,caterpillar1980,1/2-1/2,1168,1120,A40,,Normal
Rated blitz game,https://lichess.org/rkLBeGjA,2023.04.22,peterchero,caterpillar1980,1-0,1149,1131,A05,,Time forfeit
Rated blitz game,https://lichess.org/1R04Xdyd,2023.04.22,peterchero,Varavibrant,1-0,1138,1115,A41,,Time forfeit
Rated blitz game,https://lichess.org/UfsAoEst,2023.04.22,peterchero,J4nczi,0-1,1149,1214,B23,,Normal
Rated bullet game,https://lichess.org/25Thvjwv,2023.04.20,peterchero,EdsEdifice,1-0,1264,1284,A40,,Normal
Casual rapid game,https://lichess.org/efVx9eHt,2023.04.20,peterchero,dark0809,0-1,1502,1500,D10,,Normal
Casual bullet game,https://lichess.org/YZwEaEze,2024.07.02,svintus,peterchero,1-0,1107,1400,C50,,Normal
Rated bullet game,https://lichess.org/MtFXrgPv,2023.04.20,peterchero,alq_88,1-0,1262,1223,A43,,Normal
Rated bullet game,https://lichess.org/rSpsghv9,2023.04.20,peterchero,diegol10,0-1,1262,1343,B54,,Time forfeit
Rated bullet game,https://lichess.org/D3lhVMPZ,2023.04.18,peterchero,segiberberi,1-0,1263,1264,C20,,Time forfeit
Rated bullet game,https://lichess.org/rDlYjDUx,2023.04.18,peterchero,Pinguiculus,0-1,1319,1345,A40,,Normal
Casual rapid game,https://lichess.org/u5qEFqhQ,2023.04.14,peterchero,musapinj,0-1,1502,1500,A45,,Normal
Casual rapid game,https://lichess.org/mGK0ml1n,2023.04.14,peterchero,damgasper,1-0,1502,1304,A04,,Normal
Rated bullet game,https://lichess.org/8WbTqkyR,2023.04.08,peterchero,MAKATIBHOY2,1-0,1298,1274,A40,,Normal
Casual blitz game,https://lichess.org/tnXJpCV9,2023.04.03,peterchero,Retizek1,1-0,1149,1423,D05,,Normal
Casual UltraBullet game,https://lichess.org/FPv5eUjq,2023.04.03,peterchero,vishyanand7,1-0,1500,1500,A04,,Time forfeit
Casual blitz game,https://lichess.org/yTBlgt7M,2023.03.31,peterchero,IamChristian,0-1,1149,1311,B01,,Normal
Casual rapid game,https://lichess.org/pQH7yjxg,2024.06.29,Behradrezazadeh96,peterchero,0-1,1500,1507,B00,,Normal
Casual rapid game,https://lichess.org/tgbNRhrJ,2023.03.31,peterchero,TYMUR2208,0-1,1502,1388,A40,,Normal
Casual bullet game,https://lichess.org/VVBFVXQp,2023.03.31,peterchero,tobiiii,1-0,1324,1495,D02,,Normal
Casual rapid game,https://lichess.org/KkQRHgLM,2023.03.30,peterchero,Y-c5,1-0,1502,1500,A45,,Time forfeit
Rated blitz game,https://lichess.org/WWQXPp6h,2023.03.29,peterchero,davidgarciabagu,1/2-1/2,1152,1082,A40,,Normal
Rated bullet game,https://lichess.org/U5guaK2r,2023.03.29,peterchero,tamarindoazedo,1-0,1301,1275,D01,,Time forfeit
Rated blitz game,https://lichess.org/NY69iS3q,2023.03.28,peterchero,jbaniwas,1-0,1143,1150,A40,,Normal
Rated blitz game,https://lichess.org/WJATVmYn,2023.03.28,peterchero,TeacherNolan,1-0,1144,1088,D02,,Normal
Rated blitz game,https://lichess.org/aTmmgQb9,2023.03.26,peterchero,BOODY2120,1-0,1124,1020,D02,,Normal
Rated blitz game,https://lichess.org/H7GiaC1h,2023.03.26,peterchero,BOODY2120,1/2-1/2,1119,1022,D02,,Normal
Rated blitz game,https://lichess.org/eHsCGYCW,2023.03.25,peterchero,Hewshkasda,1-0,1101,962,A04,,Normal
Casual rapid game,https://lichess.org/ZE51zA9U,2024.06.28,lhui128,peterchero,1-0,1495,1507,C55,,Normal
Rated blitz game,https://lichess.org/TSIXGsld,2023.03.25,peterchero,A1Khalid,1-0,1106,949,D02,,Normal
Casual blitz game,https://lichess.org/AIpWDb8O,2023.03.25,peterchero,Mahmoudtaher,0-1,1104,1126,C00,,Normal
Casual blitz game,https://lichess.org/ssN5sDvp,2023.03.25,peterchero,ranadu,0-1,1104,1620,B54,,Normal
Rated bullet game,https://lichess.org/eqCaUV51,2023.03.24,peterchero,mandeephooda,1-0,1244,1263,C41,,Time forfeit
Rated bullet game,https://lichess.org/FkQLi0nL,2023.03.24,peterchero,NotManyIdeas,1/2-1/2,1290,1154,C41,,Normal
Rated blitz game,https://lichess.org/LkJz186v,2023.03.24,peterchero,bunuokuyaniyidir,0-1,1101,1195,C50,,Normal
Rated blitz game,https://lichess.org/Z45gcCUz,2023.03.24,peterchero,ldn67,1-0,1049,1113,D02,,Normal
Rated blitz game,https://lichess.org/BO4XBz8k,2023.03.24,peterchero,uzzel07,1-0,1052,1006,A06,,Normal
Rated blitz game,https://lichess.org/3Ma2nhaL,2023.03.24,peterchero,GaftonA,0-1,1070,1105,D02,,Normal
Casual bullet game,https://lichess.org/kmpNdXir,2023.03.18,peterchero,BingoBongo987,1-0,1290,1272,A04,,Normal
Casual bullet game,https://lichess.org/eGXaFMSo,2024.06.28,French-Canadian,peterchero,1-0,1500,1400,D02,,Time forfeit
Casual bullet game,https://lichess.org/Fjvf1hOv,2023.03.18,peterchero,BingoBongo987,1-0,1290,1272,A40,,Time forfeit
Rated rapid game,https://lichess.org/ujgI6Y7s,2023.03.18,peterchero,Antun61,0-1,1549,1566,A00,,Normal
Casual blitz game,https://lichess.org/HJX1MQw9,2023.03.15,peterchero,Senya10,0-1,1070,1414,A04,,Normal
Casual rapid game,https://lichess.org/GAEtfoGC,2023.03.15,peterchero,Bot_player1234,1-0,1549,1501,B06,,Normal
Casual blitz game,https://lichess.org/W99OdYYk,2023.03.03,peterchero,deividcosta,1-0,1070,1551,A41,,Time forfeit
Rated bullet game,https://lichess.org/Y6mngMym,2023.02.23,peterchero,Midohesham1994,1-0,1274,1352,D02,,Time forfeit
Rated blitz game,https://lichess.org/IHwQUtEt,2023.02.23,peterchero,ahmedassa,1-0,1043,979,A04,,Normal
Rated blitz game,https://lichess.org/YSyEH0jj,2023.02.23,peterchero,fibonacci66,0-1,1054,1159,A04,,Normal
Rated blitz game,https://lichess.org/aUkpZEqZ,2023.02.23,peterchero,MixaEl01071921,1-0,1051,1010,D02,,Normal
Casual blitz game,https://lichess.org/OESA4NFd,2023.01.30,peterchero,DerekTop777,0-1,1051,1062,A04,,Time forfeit
Casual rapid game,https://lichess.org/Ss5beZbx,2024.06.28,Wonderlerr,peterchero,0-1,1500,1507,C46,,Normal
Casual rapid game,https://lichess.org/EjsRSPcP,2023.01.30,peterchero,HishamGamal,0-1,1322,1589,A04,,Normal
Casual rapid game,https://lichess.org/VYW1HYL0,2023.01.30,peterchero,Tobiinator,1-0,1322,1203,D02,,Normal
Casual rapid game,https://lichess.org/w9jVKeyT,2023.01.27,peterchero,magnuscongminh,0-1,1322,904,A04,,Time forfeit
Casual rapid game,https://lichess.org/6vrEormI,2023.01.27,peterchero,jool,1/2-1/2,1322,1605,D00,,Normal
Casual rapid game,https://lichess.org/94hja8WB,2023.01.25,peterchero,anubhav2010,1/2-1/2,1322,1586,A40,,Normal
Casual rapid game,https://lichess.org/Jlshitjn,2023.01.25,peterchero,quot0,0-1,1322,1585,D02,,Time forfeit
Rated blitz game,https://lichess.org/IXpZKU8k,2023.01.25,peterchero,umtcnckn,1-0,1033,1042,A40,,Normal
